    Xi (deg)   Xn       delMag   No. in bin
    -0.300    -0.240     0.000   12881
    -0.280    -0.240     0.001   14612
    -0.260    -0.240     0.000   12195
    -0.240    -0.240    -0.001   14463
    -0.220    -0.240    -0.002   13266
    -0.200    -0.240    -0.003   13583
    -0.180    -0.240    -0.001   12769
    -0.160    -0.240     0.001   12566
    -0.140    -0.240     0.002   12411
    -0.120    -0.240    -0.006   14133
    -0.100    -0.240    -0.015    2292
    -0.080    -0.240    -0.019       0
    -0.060    -0.240    -0.016       0
    -0.040    -0.240    -0.013       0
    -0.020    -0.240    -0.013       0
     0.000    -0.240    -0.000       0
     0.020    -0.240     0.006       0
     0.040    -0.240     0.006       0
     0.060    -0.240     0.009       0
     0.080    -0.240     0.012       0
     0.100    -0.240     0.017    2508
     0.120    -0.240     0.019   13210
     0.140    -0.240     0.017   13535
     0.160    -0.240     0.011   13685
     0.180    -0.240     0.005   13033
     0.200    -0.240     0.003   13278
     0.220    -0.240    -0.001   12723
     0.240    -0.240    -0.005   13952
     0.260    -0.240    -0.009   14050
     0.280    -0.240    -0.013   15665
     0.300    -0.240    -0.016   14101
     0.320    -0.240    -0.020   14544
     0.340    -0.240    -0.023    5115
    -0.340    -0.220     0.002    4813
    -0.320    -0.220     0.002   12839
    -0.300    -0.220     0.003   13054
    -0.280    -0.220     0.003   14355
    -0.260    -0.220     0.002   12545
    -0.240    -0.220     0.000   13292
    -0.220    -0.220    -0.001   12340
    -0.200    -0.220    -0.001   12979
    -0.180    -0.220     0.001   13137
    -0.160    -0.220     0.003   13539
    -0.140    -0.220     0.005   14212
    -0.120    -0.220    -0.003   13922
    -0.100    -0.220    -0.011    2368
    -0.080    -0.220    -0.015       0
    -0.060    -0.220    -0.014       0
    -0.040    -0.220    -0.013       0
    -0.020    -0.220    -0.013       0
     0.000    -0.220    -0.000       0
     0.020    -0.220     0.006       0
     0.040    -0.220     0.006       0
     0.060    -0.220     0.007       0
     0.080    -0.220     0.009       0
     0.100    -0.220     0.015    2302
     0.120    -0.220     0.018   13653
     0.140    -0.220     0.018   14317
     0.160    -0.220     0.012   13876
     0.180    -0.220     0.005   13474
     0.200    -0.220     0.002   13975
     0.220    -0.220    -0.003   13915
     0.240    -0.220    -0.007   13188
     0.260    -0.220    -0.011   13672
     0.280    -0.220    -0.015   14283
     0.300    -0.220    -0.017   13926
     0.320    -0.220    -0.019   15711
     0.340    -0.220    -0.021    4966
    -0.340    -0.200     0.005    4566
    -0.320    -0.200     0.005   12111
    -0.300    -0.200     0.005   14145
    -0.280    -0.200     0.005   14992
    -0.260    -0.200     0.004   13328
    -0.240    -0.200     0.003   13122
    -0.220    -0.200     0.002   12906
    -0.200    -0.200     0.002   12921
    -0.180    -0.200     0.004   13670
    -0.160    -0.200     0.007   13897
    -0.140    -0.200     0.007   13452
    -0.120    -0.200     0.001   13516
    -0.100    -0.200    -0.007    2613
    -0.080    -0.200    -0.013       0
    -0.060    -0.200    -0.013       0
    -0.040    -0.200    -0.013       0
    -0.020    -0.200    -0.013       0
     0.000    -0.200    -0.000       0
     0.020    -0.200     0.006       0
     0.040    -0.200     0.006       0
     0.060    -0.200     0.006       0
     0.080    -0.200     0.006       0
     0.100    -0.200     0.012    2609
     0.120    -0.200     0.018   14152
     0.140    -0.200     0.019   13423
     0.160    -0.200     0.014   14014
     0.180    -0.200     0.006   13220
     0.200    -0.200     0.003   13541
     0.220    -0.200    -0.002   13559
     0.240    -0.200    -0.007   13428
     0.260    -0.200    -0.012   13885
     0.280    -0.200    -0.015   15029
     0.300    -0.200    -0.017   14241
     0.320    -0.200    -0.018   15542
     0.340    -0.200    -0.019    4841
    -0.340    -0.180     0.010    5031
    -0.320    -0.180     0.009   12793
    -0.300    -0.180     0.009   13190
    -0.280    -0.180     0.007   14724
    -0.260    -0.180     0.006   13343
    -0.240    -0.180     0.005   12987
    -0.220    -0.180     0.005   13587
    -0.200    -0.180     0.006   14044
    -0.180    -0.180     0.008   13803
    -0.160    -0.180     0.010   13047
    -0.140    -0.180     0.009   12983
    -0.120    -0.180     0.003   14309
    -0.100    -0.180    -0.004    2588
    -0.080    -0.180    -0.011       0
    -0.060    -0.180    -0.012       0
    -0.040    -0.180    -0.013       0
    -0.020    -0.180    -0.013       0
     0.000    -0.180    -0.000       0
     0.020    -0.180     0.006       0
     0.040    -0.180     0.006       0
     0.060    -0.180     0.005       0
     0.080    -0.180     0.005       0
     0.100    -0.180     0.011    2430
     0.120    -0.180     0.018   14066
     0.140    -0.180     0.020   14277
     0.160    -0.180     0.015   13418
     0.180    -0.180     0.008   13354
     0.200    -0.180     0.004   13852
     0.220    -0.180    -0.001   15797
     0.240    -0.180    -0.006   14139
     0.260    -0.180    -0.011   13874
     0.280    -0.180    -0.015   13883
     0.300    -0.180    -0.016   14679
     0.320    -0.180    -0.018   15167
     0.340    -0.180    -0.018    4845
    -0.340    -0.160     0.013    4697
    -0.320    -0.160     0.013   13355
    -0.300    -0.160     0.012   13069
    -0.280    -0.160     0.011   14284
    -0.260    -0.160     0.009   12617
    -0.240    -0.160     0.008   13004
    -0.220    -0.160     0.009   13085
    -0.200    -0.160     0.011   12913
    -0.180    -0.160     0.013   13484
    -0.160    -0.160     0.014   13332
    -0.140    -0.160     0.013   13131
    -0.120    -0.160     0.005   13261
    -0.100    -0.160    -0.002    2621
    -0.080    -0.160    -0.009       0
    -0.060    -0.160    -0.011       0
    -0.040    -0.160    -0.013       0
    -0.020    -0.160    -0.013       0
     0.000    -0.160    -0.000       0
     0.020    -0.160     0.006       0
     0.040    -0.160     0.006       0
     0.060    -0.160     0.005       0
     0.080    -0.160     0.004       0
     0.100    -0.160     0.010    2523
     0.120    -0.160     0.017   13375
     0.140    -0.160     0.020   13836
     0.160    -0.160     0.015   13346
     0.180    -0.160     0.009   14204
     0.200    -0.160     0.004   14129
     0.220    -0.160     0.000   13651
     0.240    -0.160    -0.004   15278
     0.260    -0.160    -0.009   13589
     0.280    -0.160    -0.013   13879
     0.300    -0.160    -0.015   13827
     0.320    -0.160    -0.018   14352
     0.340    -0.160    -0.018    5179
    -0.340    -0.140     0.015    4708
    -0.320    -0.140     0.015   13930
    -0.300    -0.140     0.014   12924
    -0.280    -0.140     0.013   13942
    -0.260    -0.140     0.011   12497
    -0.240    -0.140     0.012   14133
    -0.220    -0.140     0.013   13562
    -0.200    -0.140     0.015   13005
    -0.180    -0.140     0.017   13802
    -0.160    -0.140     0.017   13140
    -0.140    -0.140     0.015   13608
    -0.120    -0.140     0.007   12939
    -0.100    -0.140    -0.000    2123
    -0.080    -0.140    -0.008       0
    -0.060    -0.140    -0.010       0
    -0.040    -0.140    -0.013       0
    -0.020    -0.140    -0.013       0
     0.000    -0.140    -0.000       0
     0.020    -0.140     0.006       0
     0.040    -0.140     0.006       0
     0.060    -0.140     0.004       0
     0.080    -0.140     0.002       0
     0.100    -0.140     0.007    2619
     0.120    -0.140     0.015   13755
     0.140    -0.140     0.019   13033
     0.160    -0.140     0.015   13423
     0.180    -0.140     0.009   13104
     0.200    -0.140     0.005   14430
     0.220    -0.140     0.001   14084
     0.240    -0.140    -0.003   14304
     0.260    -0.140    -0.007   14158
     0.280    -0.140    -0.011   14349
     0.300    -0.140    -0.015   14579
     0.320    -0.140    -0.018   14405
     0.340    -0.140    -0.020    4830
    -0.340    -0.120     0.011    4787
    -0.320    -0.120     0.011   12858
    -0.300    -0.120     0.010   13432
    -0.280    -0.120     0.009   14639
    -0.260    -0.120     0.008   11955
    -0.240    -0.120     0.008   13393
    -0.220    -0.120     0.009   13626
    -0.200    -0.120     0.011   12344
    -0.180    -0.120     0.012   12601
    -0.160    -0.120     0.013   13436
    -0.140    -0.120     0.011   13175
    -0.120    -0.120     0.004   13142
    -0.100    -0.120    -0.003    2373
    -0.080    -0.120    -0.009       0
