    Xi (deg)   Xn       delMag   No. in bin
    -0.280    -0.240    -0.006    9135
    -0.260    -0.240    -0.005    6845
    -0.240    -0.240    -0.003    7621
    -0.220    -0.240     0.002    8598
    -0.200    -0.240     0.007    8413
    -0.180    -0.240     0.014    7172
    -0.160    -0.240     0.019    7354
    -0.140    -0.240     0.022    8183
    -0.120    -0.240     0.015    8806
    -0.100    -0.240     0.006    1218
    -0.080    -0.240     0.002       0
    -0.060    -0.240     0.006       0
    -0.040    -0.240     0.010       0
    -0.020    -0.240     0.010       0
     0.000    -0.240     0.000       0
     0.020    -0.240    -0.002       0
     0.040    -0.240    -0.002       0
     0.060    -0.240    -0.017       0
     0.080    -0.240    -0.032       0
     0.100    -0.240    -0.032     647
     0.120    -0.240    -0.016    8325
     0.140    -0.240     0.000    8862
     0.160    -0.240     0.001    9399
     0.180    -0.240     0.003    9293
     0.200    -0.240     0.003    9359
     0.220    -0.240     0.001   10163
     0.240    -0.240    -0.000   10698
     0.260    -0.240     0.001    9603
     0.280    -0.240     0.000    8875
     0.300    -0.240    -0.000    9603
     0.320    -0.240    -0.001   10024
     0.340    -0.240    -0.005    3270
    -0.340    -0.220    -0.008    1919
    -0.320    -0.220    -0.008    6526
    -0.300    -0.220    -0.007    7378
    -0.280    -0.220    -0.005    8035
    -0.260    -0.220    -0.003    7650
    -0.240    -0.220     0.000    8354
    -0.220    -0.220     0.005    7187
    -0.200    -0.220     0.011    8053
    -0.180    -0.220     0.018    7473
    -0.160    -0.220     0.022    8690
    -0.140    -0.220     0.026    8807
    -0.120    -0.220     0.018    9116
    -0.100    -0.220     0.009    1301
    -0.080    -0.220     0.003       0
    -0.060    -0.220     0.007       0
    -0.040    -0.220     0.010       0
    -0.020    -0.220     0.010       0
     0.000    -0.220     0.000       0
     0.020    -0.220    -0.002       0
     0.040    -0.220    -0.002       0
     0.060    -0.220    -0.014       0
     0.080    -0.220    -0.026       0
     0.100    -0.220    -0.025     995
     0.120    -0.220    -0.012    9291
     0.140    -0.220     0.002    9102
     0.160    -0.220     0.002    9173
     0.180    -0.220     0.002    8974
     0.200    -0.220     0.001    9411
     0.220    -0.220    -0.000   10504
     0.240    -0.220    -0.001    9874
     0.260    -0.220     0.000    9549
     0.280    -0.220    -0.001   10926
     0.300    -0.220    -0.002    9657
     0.320    -0.220    -0.003    9878
     0.340    -0.220    -0.005    3195
    -0.340    -0.200    -0.007    2465
    -0.320    -0.200    -0.008    6670
    -0.300    -0.200    -0.007    8314
    -0.280    -0.200    -0.004    8433
    -0.260    -0.200    -0.001    8531
    -0.240    -0.200     0.003    8105
    -0.220    -0.200     0.009    7927
    -0.200    -0.200     0.015    8400
    -0.180    -0.200     0.021    8473
    -0.160    -0.200     0.025    8517
    -0.140    -0.200     0.027    9151
    -0.120    -0.200     0.019    9019
    -0.100    -0.200     0.012    1627
    -0.080    -0.200     0.006       0
    -0.060    -0.200     0.008       0
    -0.040    -0.200     0.010       0
    -0.020    -0.200     0.010       0
     0.000    -0.200     0.000       0
     0.020    -0.200    -0.002       0
     0.040    -0.200    -0.002       0
     0.060    -0.200    -0.012       0
     0.080    -0.200    -0.022       0
     0.100    -0.200    -0.019     918
     0.120    -0.200    -0.007    9191
     0.140    -0.200     0.005    8007
     0.160    -0.200     0.003   10001
     0.180    -0.200     0.002   10158
     0.200    -0.200     0.002    9891
     0.220    -0.200     0.001    8617
     0.240    -0.200     0.001    9001
     0.260    -0.200    -0.000    9877
     0.280    -0.200    -0.001   10192
     0.300    -0.200    -0.002    9998
     0.320    -0.200    -0.004   10300
     0.340    -0.200    -0.006    3143
    -0.340    -0.180    -0.008    1896
    -0.320    -0.180    -0.008    6800
    -0.300    -0.180    -0.007    8353
    -0.280    -0.180    -0.004    8748
    -0.260    -0.180    -0.000    8111
    -0.240    -0.180     0.004    8369
    -0.220    -0.180     0.009    8511
    -0.200    -0.180     0.015    8517
    -0.180    -0.180     0.021    8143
    -0.160    -0.180     0.026    8079
    -0.140    -0.180     0.029    8610
    -0.120    -0.180     0.021    9171
    -0.100    -0.180     0.014    1505
    -0.080    -0.180     0.008       0
    -0.060    -0.180     0.009       0
    -0.040    -0.180     0.010       0
    -0.020    -0.180     0.010       0
     0.000    -0.180     0.000       0
     0.020    -0.180    -0.002       0
     0.040    -0.180    -0.002       0
     0.060    -0.180    -0.008       0
     0.080    -0.180    -0.014       0
     0.100    -0.180    -0.010     978
     0.120    -0.180    -0.001    9597
     0.140    -0.180     0.010    9847
     0.160    -0.180     0.008   10205
     0.180    -0.180     0.005   10218
     0.200    -0.180     0.003   10408
     0.220    -0.180     0.003   10466
     0.240    -0.180     0.003    9506
     0.260    -0.180     0.002    9597
     0.280    -0.180     0.000   10354
     0.300    -0.180    -0.001   10135
     0.320    -0.180    -0.003   10182
     0.340    -0.180    -0.005    2679
    -0.340    -0.160    -0.009    1820
    -0.320    -0.160    -0.008    7246
    -0.300    -0.160    -0.007    8569
    -0.280    -0.160    -0.004    8662
    -0.260    -0.160    -0.001    7715
    -0.240    -0.160     0.004    8320
    -0.220    -0.160     0.011    8824
    -0.200    -0.160     0.018    7007
    -0.180    -0.160     0.023    7750
    -0.160    -0.160     0.028    8215
    -0.140    -0.160     0.030    8280
    -0.120    -0.160     0.024    8791
    -0.100    -0.160     0.017    1867
    -0.080    -0.160     0.011       0
    -0.060    -0.160     0.011       0
    -0.040    -0.160     0.010       0
    -0.020    -0.160     0.010       0
     0.000    -0.160     0.000       0
     0.020    -0.160    -0.002       0
     0.040    -0.160    -0.002       0
     0.060    -0.160    -0.008       0
     0.080    -0.160    -0.014       0
     0.100    -0.160    -0.010    1254
     0.120    -0.160     0.001    9857
     0.140    -0.160     0.013   11157
     0.160    -0.160     0.011   10730
     0.180    -0.160     0.008   11219
     0.200    -0.160     0.007   10619
     0.220    -0.160     0.006   10003
     0.240    -0.160     0.006   10850
     0.260    -0.160     0.004   10712
     0.280    -0.160     0.002   10452
     0.300    -0.160    -0.000    9533
     0.320    -0.160    -0.002   10336
     0.340    -0.160    -0.004    3450
    -0.340    -0.140    -0.011    2072
    -0.320    -0.140    -0.009    7641
    -0.300    -0.140    -0.007    7182
    -0.280    -0.140    -0.004    8327
    -0.260    -0.140    -0.002    7720
    -0.240    -0.140     0.005    8968
    -0.220    -0.140     0.012    7744
    -0.200    -0.140     0.020    8204
    -0.180    -0.140     0.025    8344
    -0.160    -0.140     0.029    8097
    -0.140    -0.140     0.031    8580
    -0.120    -0.140     0.026    9258
    -0.100    -0.140     0.020    1634
    -0.080    -0.140     0.013       0
    -0.060    -0.140     0.011       0
    -0.040    -0.140     0.010       0
    -0.020    -0.140     0.010       0
     0.000    -0.140     0.000       0
     0.020    -0.140    -0.002       0
     0.040    -0.140    -0.002       0
     0.060    -0.140    -0.010       0
     0.080    -0.140    -0.018       0
     0.100    -0.140    -0.015     631
     0.120    -0.140    -0.000    8902
     0.140    -0.140     0.016   10644
     0.160    -0.140     0.014    9398
     0.180    -0.140     0.011   10350
     0.200    -0.140     0.009   10379
     0.220    -0.140     0.009   10451
     0.240    -0.140     0.008    9722
     0.260    -0.140     0.006    9968
     0.280    -0.140     0.003   10860
     0.300    -0.140     0.000    9497
     0.320    -0.140    -0.002   10399
     0.340    -0.140    -0.005    3465
    -0.340    -0.120    -0.019    1864
    -0.320    -0.120    -0.017    7268
    -0.300    -0.120    -0.014    8056
    -0.280    -0.120    -0.011    8259
    -0.260    -0.120    -0.008    7335
    -0.240    -0.120    -0.001    8709
    -0.220    -0.120     0.006    7733
    -0.200    -0.120     0.013    7372
    -0.180    -0.120     0.018    7720
    -0.160    -0.120     0.022    8518
    -0.140    -0.120     0.025    8794
    -0.120    -0.120     0.023    8306
    -0.100    -0.120     0.019    1828
    -0.080    -0.120     0.013       0
    -0.060    -0.120     0.011       0
    -0.040    -0.120     0.010       0
    -0.020    -0.120     0.010       0
     0.000    -0.120     0.000       0
     0.020    -0.120    -0.002       0
     0.040    -0.120    -0.002       0
     0.060    -0.120    -0.011       0
     0.080    -0.120    -0.020       0
     0.100    -0.120    -0.017     667
     0.120    -0.120    -0.004   10304
     0.140    -0.120     0.009   10684
     0.160    -0.120     0.009    9366
     0.180    -0.120     0.006   10494
     0.200    -0.120     0.004   10514
     0.220    -0.120     0.003   11093
     0.240    -0.120     0.002   11112
     0.260    -0.120     0.000   10884
     0.280    -0.120    -0.003   10528
     0.300    -0.120    -0.006   10230
     0.320    -0.120    -0.011   11429
     0.340    -0.120    -0.016    2968
    -0.340    -0.100    -0.027     351
    -0.320    -0.100    -0.024    1338
    -0.300    -0.100    -0.022    1622
    -0.280    -0.100    -0.018    1346
    -0.260    -0.100    -0.014    1154
    -0.240    -0.100    -0.008    1696
    -0.220    -0.100    -0.001    1284
    -0.200    -0.100     0.005    1223
    -0.180    -0.100     0.009    1805
    -0.160    -0.100     0.014    1749
    -0.140    -0.100     0.018    1842
    -0.120    -0.100     0.018    2466
    -0.100    -0.100     0.015     231
    -0.080    -0.100     0.011       0
    -0.060    -0.100     0.011       0
    -0.040    -0.100     0.010       0
    -0.020    -0.100     0.010       0
     0.000    -0.100     0.000       0
     0.020    -0.100    -0.002       0
     0.040    -0.100    -0.002       0
     0.060    -0.100    -0.008       0
     0.080    -0.100    -0.015       0
     0.100    -0.100    -0.016      63
     0.120    -0.100    -0.008    1438
     0.140    -0.100     0.002    1465
     0.160    -0.100     0.003    1601
     0.180    -0.100     0.000    1784
     0.200    -0.100    -0.003    1652
     0.220    -0.100    -0.004    1696
     0.240    -0.100    -0.006    1936
     0.260    -0.100    -0.006    2259
     0.280    -0.100    -0.008    2373
     0.300    -0.100    -0.013    1963
     0.320    -0.100    -0.020    2196
     0.340    -0.100    -0.028     640
