    Xi (deg)   Xn       delMag   No. in bin
    -0.300    -0.240     0.000    5088
    -0.280    -0.240    -0.002    6376
    -0.260    -0.240    -0.001    5098
    -0.240    -0.240    -0.004    7024
    -0.220    -0.240    -0.005    5951
    -0.200    -0.240    -0.007    5879
    -0.180    -0.240    -0.003    5133
    -0.160    -0.240     0.001    5521
    -0.140    -0.240     0.005    5118
    -0.120    -0.240    -0.005    7138
    -0.100    -0.240    -0.013    1203
    -0.080    -0.240    -0.017       0
    -0.060    -0.240    -0.016       0
    -0.040    -0.240    -0.015       0
    -0.020    -0.240    -0.015       0
     0.000    -0.240    -0.000       0
     0.020    -0.240    -0.002       0
     0.040    -0.240    -0.002       0
     0.060    -0.240    -0.003       0
     0.080    -0.240    -0.004       0
     0.100    -0.240     0.005    1163
     0.120    -0.240     0.013    5964
     0.140    -0.240     0.015    6424
     0.160    -0.240     0.010    6660
     0.180    -0.240     0.005    5800
     0.200    -0.240     0.005    6132
     0.220    -0.240     0.004    5606
     0.240    -0.240     0.000    7143
     0.260    -0.240    -0.008    7013
     0.280    -0.240    -0.015    8930
     0.300    -0.240    -0.021    6702
     0.320    -0.240    -0.027    7792
     0.340    -0.240    -0.030    2609
    -0.340    -0.220     0.004    1568
    -0.320    -0.220     0.002    5450
    -0.300    -0.220     0.001    5402
    -0.280    -0.220     0.000    6058
    -0.260    -0.220    -0.000    5197
    -0.240    -0.220    -0.002    5916
    -0.220    -0.220    -0.002    4588
    -0.200    -0.220    -0.003    5749
    -0.180    -0.220     0.001    5699
    -0.160    -0.220     0.004    5789
    -0.140    -0.220     0.008    7189
    -0.120    -0.220     0.000    7201
    -0.100    -0.220    -0.006     777
    -0.080    -0.220    -0.010       0
    -0.060    -0.220    -0.012       0
    -0.040    -0.220    -0.015       0
    -0.020    -0.220    -0.015       0
     0.000    -0.220     0.000       0
     0.020    -0.220    -0.002       0
     0.040    -0.220    -0.002       0
     0.060    -0.220    -0.004       0
     0.080    -0.220    -0.007       0
     0.100    -0.220     0.003     719
     0.120    -0.220     0.013    7034
     0.140    -0.220     0.016    7257
     0.160    -0.220     0.012    6494
     0.180    -0.220     0.007    5958
     0.200    -0.220     0.005    6709
     0.220    -0.220     0.003    6728
     0.240    -0.220    -0.002    5854
     0.260    -0.220    -0.010    6854
     0.280    -0.220    -0.017    7455
     0.300    -0.220    -0.023    6787
     0.320    -0.220    -0.026    8717
     0.340    -0.220    -0.028    2406
    -0.340    -0.200     0.006    1340
    -0.320    -0.200     0.004    4421
    -0.300    -0.200     0.002    6679
    -0.280    -0.200     0.002    7163
    -0.260    -0.200     0.001    6554
