    Xi (deg)   Xn       delMag   No. in bin
    -0.280    -0.240    -0.003    9971
    -0.260    -0.240    -0.002    7563
    -0.240    -0.240     0.000    8227
    -0.220    -0.240     0.004    9455
    -0.200    -0.240     0.008    9077
    -0.180    -0.240     0.012    7703
    -0.160    -0.240     0.016    7919
    -0.140    -0.240     0.017    8661
    -0.120    -0.240     0.008    9373
    -0.100    -0.240    -0.002    1254
    -0.080    -0.240    -0.004       0
    -0.060    -0.240     0.003       0
    -0.040    -0.240     0.010       0
    -0.020    -0.240     0.010       0
     0.000    -0.240    -0.000       0
     0.020    -0.240    -0.004       0
     0.040    -0.240    -0.004       0
     0.060    -0.240    -0.020       0
     0.080    -0.240    -0.035       0
     0.100    -0.240    -0.035     666
     0.120    -0.240    -0.018    8838
     0.140    -0.240     0.000    9472
     0.160    -0.240     0.001   10158
     0.180    -0.240     0.003   10051
     0.200    -0.240     0.004    9972
     0.220    -0.240     0.004   10901
     0.240    -0.240     0.003   11610
     0.260    -0.240     0.003   10324
     0.280    -0.240     0.002    9558
     0.300    -0.240     0.001   10297
     0.320    -0.240    -0.002   10480
     0.340    -0.240    -0.007    3351
    -0.340    -0.220    -0.006    2145
    -0.320    -0.220    -0.005    7220
    -0.300    -0.220    -0.006    8093
    -0.280    -0.220    -0.003    8638
    -0.260    -0.220    -0.000    8387
    -0.240    -0.220     0.003    9137
    -0.220    -0.220     0.007    7806
    -0.200    -0.220     0.012    8652
    -0.180    -0.220     0.016    8101
    -0.160    -0.220     0.020    9177
    -0.140    -0.220     0.021    9174
    -0.120    -0.220     0.011    9605
    -0.100    -0.220     0.000    1338
    -0.080    -0.220    -0.004       0
    -0.060    -0.220     0.003       0
    -0.040    -0.220     0.010       0
    -0.020    -0.220     0.010       0
     0.000    -0.220     0.000       0
     0.020    -0.220    -0.004       0
     0.040    -0.220    -0.004       0
     0.060    -0.220    -0.017       0
     0.080    -0.220    -0.030       0
     0.100    -0.220    -0.030    1053
     0.120    -0.220    -0.015    9818
     0.140    -0.220     0.001    9741
     0.160    -0.220     0.000    9806
     0.180    -0.220     0.001    9545
     0.200    -0.220     0.001    9909
     0.220    -0.220     0.001   11306
     0.240    -0.220     0.001   10439
     0.260    -0.220     0.001   10315
     0.280    -0.220    -0.001   11755
     0.300    -0.220    -0.002   10349
     0.320    -0.220    -0.004   10578
     0.340    -0.220    -0.008    3398
    -0.340    -0.200    -0.006    2706
    -0.320    -0.200    -0.006    7272
    -0.300    -0.200    -0.005    9263
    -0.280    -0.200    -0.002    9253
    -0.260    -0.200     0.001    9303
    -0.240    -0.200     0.006    8786
    -0.220    -0.200     0.010    8507
    -0.200    -0.200     0.015    9046
    -0.180    -0.200     0.019    9043
    -0.160    -0.200     0.022    9137
    -0.140    -0.200     0.022    9916
    -0.120    -0.200     0.012    9675
    -0.100    -0.200     0.002    1712
    -0.080    -0.200    -0.002       0
    -0.060    -0.200     0.004       0
    -0.040    -0.200     0.010       0
    -0.020    -0.200     0.010       0
     0.000    -0.200     0.000       0
     0.020    -0.200    -0.004       0
     0.040    -0.200    -0.004       0
     0.060    -0.200    -0.015       0
     0.080    -0.200    -0.025       0
     0.100    -0.200    -0.023     986
     0.120    -0.200    -0.010    9778
     0.140    -0.200     0.003    8521
     0.160    -0.200     0.001   10707
     0.180    -0.200     0.001   10789
     0.200    -0.200     0.001   10512
     0.220    -0.200     0.001    9151
     0.240    -0.200     0.001    9638
     0.260    -0.200    -0.001   10511
     0.280    -0.200    -0.002   10678
     0.300    -0.200    -0.003   10768
     0.320    -0.200    -0.006   11227
     0.340    -0.200    -0.009    3362
    -0.340    -0.180    -0.009    2103
    -0.320    -0.180    -0.007    7607
    -0.300    -0.180    -0.005    9092
    -0.280    -0.180    -0.002    9530
    -0.260    -0.180     0.002    8926
    -0.240    -0.180     0.006    9167
    -0.220    -0.180     0.010    9099
    -0.200    -0.180     0.015    9128
    -0.180    -0.180     0.019    8677
    -0.160    -0.180     0.023    8453
    -0.140    -0.180     0.024    9107
    -0.120    -0.180     0.014    9805
    -0.100    -0.180     0.004    1548
    -0.080    -0.180     0.000       0
    -0.060    -0.180     0.005       0
    -0.040    -0.180     0.010       0
    -0.020    -0.180     0.010       0
     0.000    -0.180     0.000       0
     0.020    -0.180    -0.004       0
     0.040    -0.180    -0.004       0
     0.060    -0.180    -0.010       0
     0.080    -0.180    -0.017       0
     0.100    -0.180    -0.013    1035
     0.120    -0.180    -0.004   10275
     0.140    -0.180     0.007   10398
     0.160    -0.180     0.005   11037
     0.180    -0.180     0.003   10816
     0.200    -0.180     0.002   11092
     0.220    -0.180     0.002   11084
     0.240    -0.180     0.002   10004
     0.260    -0.180     0.000   10084
     0.280    -0.180    -0.002   11001
     0.300    -0.180    -0.004   10788
     0.320    -0.180    -0.006   10893
     0.340    -0.180    -0.008    2825
    -0.340    -0.160    -0.010    1949
    -0.320    -0.160    -0.008    7937
    -0.300    -0.160    -0.006    9381
    -0.280    -0.160    -0.003    9448
    -0.260    -0.160     0.001    8569
    -0.240    -0.160     0.006    9162
    -0.220    -0.160     0.011    9607
    -0.200    -0.160     0.017    7418
    -0.180    -0.160     0.021    8091
    -0.160    -0.160     0.024    8612
    -0.140    -0.160     0.025    8734
    -0.120    -0.160     0.016    9357
    -0.100    -0.160     0.008    1945
    -0.080    -0.160     0.004       0
    -0.060    -0.160     0.007       0
    -0.040    -0.160     0.010       0
    -0.020    -0.160     0.010       0
     0.000    -0.160     0.000       0
     0.020    -0.160    -0.004       0
     0.040    -0.160    -0.004       0
     0.060    -0.160    -0.011       0
     0.080    -0.160    -0.017       0
     0.100    -0.160    -0.012    1373
     0.120    -0.160    -0.002   10613
     0.140    -0.160     0.010   11816
     0.160    -0.160     0.008   11347
     0.180    -0.160     0.005   11764
