Name RA DEC l b Epoch
BLG652 17:41:10 -26:09:15 1:51:03 02:18:00 2000.0
BLG653 17:35:32 -28:36:55 359:06:01 02:02:39 2000.0
BLG654 17:35:36 -29:50:45 358:04:17 01:22:05 2000.0
BLG655 17:35:41 -31:04:35 357:02:42 00:41:20 2000.0
BLG657 18:19:50 -30:27:40 2:19:04 -07:13:18 2000.0
BLG659 17:46:04 -31:41:30 357:41:49 -01:30:59 2000.0
BLG660 17:45:56 -32:55:20 356:37:50 -02:07:54 2000.0
BLG661 17:40:05 -33:32:15 355:27:50 -01:24:50 2000.0
BLG662 17:30:00 -30:27:40 356:53:43 02:02:52 2000.0
BLG663 18:08:18 -24:18:30 6:32:48 -02:03:34 2000.0
BLG664 18:02:55 -24:55:25 5:24:42 -01:17:33 2000.0
BLG665 17:30:04 -25:19:15 1:12:33 04:51:21 2000.0
BLG666 17:30:03 -26:33:05 0:10:25 04:11:09 2000.0
BLG667 17:35:28 -25:56:10 1:21:08 03:29:58 2000.0
BLG668 17:29:57 -31:41:30 355:51:42 01:22:45 2000.0
BLG669 17:34:17 -32:55:20 355:19:55 00:03:37 2000.0
BLG670 17:33:57 -34:09:10 354:15:39 00:40:12 2000.0
BLG672 17:33:02 -36:37:00 352:05:27 -01:51:11 2000.0
BLG675 17:40:58 -27:23:05 0:46:55 01:41:15 2000.0
BLG676 17:40:49 -28:36:55 359:43:12 01:03:51 2000.0
BLG677 17:40:37 -29:50:45 358:39:12 00:26:57 2000.0
BLG678 17:40:22 -31:04:35 357:34:54 00:09:29 2000.0
BLG679 17:40:10 -32:18:25 356:30:58 00:46:31 2000.0
BLG680 17:39:06 -37:13:45 352:13:36 -03:12:16 2000.0
BLG683 17:46:39 -25:32:20 3:01:17 01:34:15 2000.0
BLG705 18:41:50 -30:27:40 4:25:46 -11:28:47 2000.0
BLG706 18:47:06 -29:50:45 5:29:09 -12:15:30 2000.0
BLG707 18:47:31 -31:04:35 4:22:28 -12:50:45 2000.0
BLG708 18:52:50 -30:27:40 5:25:39 -13:38:27 2000.0
BLG709 18:58:02 -29:50:45 6:28:15 -14:25:36 2000.0
BLG710 18:58:31 -31:04:35 5:20:35 -15:00:19 2000.0
BLG711 19:03:50 -30:27:40 6:23:22 -15:49:16 2000.0
BLG714 17:40:24 -25:18:25 2:28:46 02:53:40 2000.0
BLG715 17:35:00 -24:41:30 2:20:50 04:15:27 2000.0
BLG717 18:08:30 -23:04:40 7:38:45 -01:30:12 2000.0
BLG852 16:42:40 -29:43:50 351:20:14 10:41:49 2000.0
BLG853 16:42:20 -30:57:40 350:19:59 09:57:35 2000.0
BLG854 16:37:10 -29:06:55 351:01:30 12:00:29 2000.0
BLG855 16:36:50 -30:20:45 350:01:34 11:15:30 2000.0
BLG856 16:36:30 -31:34:35 349:01:60 10:30:14 2000.0
BLG857 16:31:20 -29:43:50 349:41:42 12:33:31 2000.0
BLG858 16:31:00 -30:57:40 348:42:28 11:47:30 2000.0
BLG859 16:49:14 -25:25:25 355:40:59 12:17:16 2000.0
BLG860 16:48:58 -26:39:15 354:39:36 11:34:09 2000.0
BLG861 16:48:42 -27:53:05 353:38:35 10:50:47 2000.0
BLG862 16:48:24 -29:06:55 352:37:38 10:07:29 2000.0
BLG863 16:48:05 -30:20:45 351:36:53 09:24:05 2000.0
BLG864 16:47:45 -31:34:35 350:36:18 08:40:36 2000.0
BLG865 16:47:15 -32:48:25 349:34:41 07:58:29 2000.0
BLG866 16:46:45 -34:02:15 348:33:22 07:16:05 2000.0
BLG867 16:46:20 -35:16:05 347:33:02 06:32:37 2000.0
BLG868 16:54:38 -24:48:30 356:56:50 11:42:05 2000.0
BLG869 16:54:26 -26:02:20 355:55:29 10:59:10 2000.0
BLG870 16:54:13 -27:16:10 354:54:20 10:16:11 2000.0
BLG871 16:53:59 -28:30:00 353:53:22 09:33:08 2000.0
BLG872 16:53:44 -29:43:50 352:52:34 08:50:01 2000.0
BLG873 16:53:28 -30:57:40 351:51:55 08:06:50 2000.0
BLG874 16:53:11 -32:11:30 350:51:24 07:23:36 2000.0
BLG875 16:52:53 -33:25:20 349:51:00 06:40:19 2000.0
BLG876 16:52:25 -34:39:10 348:49:33 05:58:26 2000.0
BLG877 16:52:05 -35:53:00 347:49:24 05:15:02 2000.0
BLG878 16:51:55 -37:06:50 346:50:43 04:29:54 2000.0
BLG879 17:00:01 -24:11:35 358:12:05 11:05:44 2000.0
BLG880 16:59:52 -25:25:25 357:10:39 10:23:09 2000.0
BLG881 16:59:42 -26:39:15 356:09:24 09:40:31 2000.0
BLG882 16:59:32 -27:53:05 355:08:26 08:57:39 2000.0
BLG883 16:59:21 -29:06:55 354:07:36 08:14:46 2000.0
BLG884 16:59:09 -30:20:45 353:06:53 07:31:51 2000.0
BLG885 16:58:57 -31:34:35 352:06:25 06:48:44 2000.0
BLG886 16:58:43 -32:48:25 351:05:54 06:05:47 2000.0
BLG887 16:58:29 -34:02:15 350:05:37 05:22:39 2000.0
BLG888 16:58:14 -35:16:05 349:05:23 04:39:31 2000.0
BLG889 16:57:58 -36:29:55 348:05:12 03:56:22 2000.0
BLG997 17:00:18 -37:13:45 347:47:58 03:07:17 2000.0
BLG998 17:00:12 -38:27:35 346:48:58 02:22:47 2000.0
