Name RA DEC l b Epoch
BLG754 18:40:46 -26:48:10 7:41:42 -09:42:31 2000.0
BLG755 18:41:03 -28:02:00 6:35:39 -10:17:41 2000.0
BLG718 18:44:17 -11:25:15 21:56:47 -03:36:56 2000.0
BLG719 18:44:20 -12:39:05 20:51:08 -04:11:01 2000.0
BLG720 18:44:27 -13:52:55 19:45:49 -04:45:52 2000.0
BLG721 18:44:34 -15:06:45 18:40:24 -05:20:36 2000.0
BLG722 18:44:36 -16:20:35 17:34:18 -05:54:08 2000.0
BLG723 18:44:44 -17:34:25 16:28:42 -06:28:48 2000.0
BLG724 18:44:52 -18:48:15 15:22:56 -07:03:19 2000.0
BLG725 18:44:56 -20:02:05 14:16:35 -07:36:48 2000.0
BLG756 18:45:05 -21:15:55 13:10:34 -08:11:09 2000.0
BLG757 18:45:13 -22:29:45 12:04:15 -08:45:05 2000.0
BLG758 18:45:24 -23:43:35 10:58:01 -09:19:25 2000.0
BLG759 18:45:38 -24:57:25 9:51:50 -09:54:07 2000.0
BLG726 18:49:19 -12:02:10 21:57:13 -04:59:34 2000.0
BLG727 18:49:28 -13:16:00 20:51:56 -05:34:39 2000.0
BLG728 18:49:36 -14:29:50 19:46:24 -06:09:22 2000.0
BLG729 18:49:40 -15:43:40 18:40:17 -06:43:05 2000.0
BLG730 18:49:50 -16:57:30 17:34:39 -07:17:55 2000.0
BLG731 18:50:00 -18:11:20 16:28:50 -07:52:34 2000.0
BLG732 18:50:06 -19:25:10 15:22:24 -08:26:10 2000.0
BLG733 18:50:10 -20:39:00 14:15:34 -08:59:08 2000.0
BLG734 18:50:20 -21:52:50 13:09:08 -09:33:09 2000.0
BLG735 18:54:19 -12:39:05 21:56:58 -06:21:36 2000.0
BLG736 18:54:30 -13:52:55 20:51:34 -06:56:48 2000.0
BLG737 18:54:39 -15:06:45 19:45:46 -07:31:23 2000.0
BLG738 18:54:45 -16:20:35 18:39:28 -08:05:08 2000.0
BLG739 18:54:57 -17:34:25 17:33:37 -08:39:58 2000.0
BLG740 18:55:09 -18:48:15 16:27:32 -09:14:35 2000.0
BLG741 18:55:17 -20:02:05 15:20:48 -09:48:07 2000.0
BLG742 18:59:35 -14:29:50 20:50:60 -08:19:25 2000.0
BLG743 18:59:43 -15:43:40 19:44:40 -08:53:25 2000.0
BLG744 18:59:51 -16:57:30 18:38:08 -09:27:11 2000.0
BLG745 19:00:05 -18:11:20 17:31:60 -10:02:00 2000.0
BLG746 19:04:38 -15:06:45 20:49:39 -09:41:25 2000.0
BLG747 19:04:48 -16:20:35 19:43:05 -10:15:27 2000.0
BLG748 19:04:58 -17:34:25 18:36:15 -10:49:13 2000.0
BLG749 19:05:14 -18:48:15 17:29:46 -11:24:01 2000.0
BLG791 17:19:30 -14:13:55 9:14:58 12:59:19 2000.0
BLG792 17:19:30 -15:27:45 8:11:26 12:19:13 2000.0
BLG793 17:19:30 -16:41:35 7:08:12 11:38:53 2000.0
BLG794 17:19:30 -17:55:25 6:05:17 10:58:19 2000.0
BLG795 17:19:30 -19:09:15 5:02:40 10:17:33 2000.0
BLG796 17:19:30 -20:23:05 4:00:18 09:36:34 2000.0
BLG797 17:19:30 -21:36:55 2:58:12 08:55:24 2000.0
BLG798 17:24:40 -13:37:00 10:28:17 12:15:41 2000.0
BLG799 17:24:40 -14:50:50 9:24:30 11:36:13 2000.0
BLG800 17:24:40 -16:04:40 8:21:01 10:56:32 2000.0
BLG801 17:24:40 -17:18:30 7:17:49 10:16:37 2000.0
BLG802 17:24:40 -18:32:20 6:14:53 09:36:31 2000.0
BLG803 17:24:40 -19:46:10 5:12:11 08:56:13 2000.0
BLG804 17:24:40 -21:00:00 4:09:44 08:15:45 2000.0
BLG968 17:24:40 -22:13:50 3:07:30 07:35:07 2000.0
BLG805 17:29:50 -13:00:05 11:41:03 11:31:11 2000.0
BLG806 17:29:50 -14:13:55 10:37:03 10:52:20 2000.0
BLG807 17:29:50 -15:27:45 9:33:19 10:13:15 2000.0
BLG808 17:29:50 -16:41:35 8:29:51 09:33:59 2000.0
BLG809 17:29:50 -17:55:25 7:26:38 08:54:31 2000.0
BLG810 17:29:50 -19:09:15 6:23:39 08:14:52 2000.0
BLG964 17:29:50 -20:23:05 5:20:52 07:35:03 2000.0
BLG965 17:29:50 -21:36:55 4:18:17 06:55:06 2000.0
BLG966 17:29:50 -22:50:45 3:15:52 06:15:00 2000.0
BLG967 17:29:50 -24:04:35 2:13:37 05:34:47 2000.0
BLG811 17:35:00 -12:23:10 12:53:18 10:45:52 2000.0
BLG812 17:35:00 -13:37:00 11:49:06 10:07:35 2000.0
BLG813 17:35:00 -14:50:50 10:45:09 09:29:06 2000.0
BLG814 17:35:00 -16:04:40 9:41:27 08:50:25 2000.0
BLG815 17:35:00 -17:18:30 8:37:58 08:11:34 2000.0
BLG816 17:35:00 -18:32:20 7:34:41 07:32:33 2000.0
BLG817 17:35:00 -19:46:10 6:31:36 06:53:23 2000.0
BLG620 17:35:00 -21:00:00 5:28:41 06:14:04 2000.0
BLG818 17:40:10 -11:46:15 14:05:03 09:59:46 2000.0
BLG819 17:40:10 -13:00:05 13:00:41 09:22:02 2000.0
BLG820 17:40:10 -14:13:55 11:56:32 08:44:07 2000.0
BLG821 17:40:10 -15:27:45 10:52:36 08:06:00 2000.0
BLG822 17:40:10 -16:41:35 9:48:52 07:27:44 2000.0
BLG823 17:40:10 -17:55:25 8:45:20 06:49:19 2000.0
BLG824 17:40:10 -19:09:15 7:41:57 06:10:45 2000.0
BLG623 17:40:12 -20:23:05 6:38:59 05:31:40 2000.0
BLG825 17:45:20 -12:23:10 14:11:48 08:35:44 2000.0
BLG826 17:45:20 -13:37:00 13:07:28 07:58:20 2000.0
BLG827 17:45:20 -14:50:50 12:03:20 07:20:46 2000.0
BLG828 17:45:20 -16:04:40 10:59:23 06:43:04 2000.0
BLG627 17:45:19 -17:18:30 9:55:28 06:05:25 2000.0
BLG628 17:45:21 -18:32:20 8:52:04 05:27:02 2000.0
BLG829 17:50:32 -11:46:15 15:22:45 07:48:18 2000.0
BLG830 17:50:32 -13:00:05 14:18:14 07:11:24 2000.0
BLG831 17:50:32 -14:13:55 13:13:55 06:34:21 2000.0
BLG832 17:50:32 -15:27:45 12:09:45 05:57:10 2000.0
BLG833 17:50:32 -16:41:35 11:05:43 05:19:51 2000.0
BLG634 17:50:27 -17:55:25 10:01:13 04:43:28 2000.0
BLG635 17:50:31 -19:09:15 8:57:56 04:05:07 2000.0
BLG834 17:55:45 -12:23:10 15:28:44 06:23:33 2000.0
BLG835 17:55:45 -13:37:00 14:24:14 05:46:59 2000.0
BLG836 17:55:45 -14:50:50 13:19:52 05:10:18 2000.0
BLG837 17:55:45 -16:04:40 12:15:37 04:33:30 2000.0
BLG838 17:55:45 -17:18:30 11:11:29 03:56:37 2000.0
BLG839 17:55:45 -18:32:20 10:07:27 03:19:38 2000.0
BLG640 17:55:42 -19:46:10 9:03:08 02:43:13 2000.0
BLG840 18:00:55 -11:46:15 16:38:31 05:35:41 2000.0
BLG841 18:00:55 -13:00:05 15:33:50 04:59:34 2000.0
BLG842 18:00:55 -14:13:55 14:29:17 04:23:21 2000.0
BLG843 18:00:55 -15:27:45 13:24:50 03:47:02 2000.0
BLG844 18:00:55 -16:41:35 12:20:29 03:10:38 2000.0
BLG845 18:00:55 -17:55:25 11:16:12 02:34:10 2000.0
BLG846 18:00:55 -19:09:15 10:11:58 01:57:39 2000.0
BLG999 18:03:25 -20:00:05 9:45:11 01:01:50 2000.0
BLG847 18:06:00 -12:23:10 16:42:32 04:12:35 2000.0
BLG848 18:06:00 -13:37:00 15:37:49 03:36:47 2000.0
BLG849 18:06:00 -14:50:50 14:33:10 03:00:55 2000.0
BLG850 18:06:00 -16:04:40 13:28:36 02:24:58 2000.0
BLG851 18:06:00 -17:18:30 12:24:05 01:48:59 2000.0
