         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0001 | 268.57313 | -29.00708 | UK2017_s6_4_4_H_C63511 | 268.57307 | -29.00709 |    0.17 |   0 |   0 | 
2015-BLG-0002 | 268.14396 | -29.10097 | UK2017_s5_3_3_H_C33205 | 268.14391 | -29.10156 |    2.12 |   0 |   0 | 
2015-BLG-0003 | 268.50967 | -28.73756 | UK2017_s4_4_2_H_C3192 | 268.50949 | -28.73733 |    0.99 |   0 |   0 | 
2015-BLG-0004 | 268.54621 | -28.26314 | UK2017_s4_4_3_H_C17469 | 268.54621 | -28.26313 |    0.03 |   0 |   0 | 
2015-BLG-0006 | 267.79983 | -29.69631 | UK2017_s5_2_1_H_C56127 | 267.79983 | -29.69632 |    0.05 |   0 |   0 | 
2015-BLG-0007 | 268.52683 | -29.26347 | UK2017_s6_1_4_H_C50463 | 268.52652 | -29.26310 |    1.66 |   0 |   0 | 
2015-BLG-0009 | 269.35233 | -29.57872 | UK2017_s6_3_2_H_C25178 | 269.35236 | -29.57875 |    0.13 |   0 |   0 | 
2015-BLG-0010 | 268.91167 | -29.64322 | UK2017_s6_1_2_H_C71300 | 268.91164 | -29.64318 |    0.17 |   0 |   0 | 
2015-BLG-0011 | 269.21783 | -29.28325 | UK2017_s6_2_3_H_C47381 | 269.21786 | -29.28324 |    0.09 |   0 |   0 | 
2015-BLG-0020 | 268.45754 | -29.75103 | UK2017_s6_1_1_H_C34490 | 268.45727 | -29.75067 |    1.54 |   0 |   0 | 
2015-BLG-0021 | 268.23442 | -29.69431 | UK2017_s5_2_2_H_C54773 | 268.23486 | -29.69453 |    1.60 |   0 |   0 | 
2015-BLG-0022 | 268.09079 | -29.78503 | UK2017_s5_1_2_H_C19629 | 268.09081 | -29.78504 |    0.07 |   0 |   0 | 
2015-BLG-0026 | 268.87546 | -27.83853 | UK2017_s3_3_2_H_C9669 | 268.87545 | -27.83857 |    0.15 |   0 |   0 | 
2015-BLG-0028 | 269.01167 | -29.17564 | UK2017_s6_4_3_H_C4706 | 269.01170 | -29.17563 |    0.11 |   0 |   0 | 
2015-BLG-0057 | 268.56879 | -28.77000 | UK2017_s4_2_2_H_C68829 | 268.56875 | -28.77036 |    1.30 |   0 |   0 | 
2015-BLG-0058 | 268.17538 | -28.81811 | UK2017_s4_2_1_H_C53445 | 268.17471 | -28.81830 |    2.20 |   0 |   0 | 
2015-BLG-0059 | 268.06938 | -28.84006 | UK2017_s4_2_1_H_C45409 | 268.06964 | -28.84031 |    1.24 |   0 |   0 | 
2015-BLG-0061 | 269.21413 | -29.81667 | UK2017_s6_2_2_H_C9679 | 269.21416 | -29.81668 |    0.12 |   0 |   0 | 
2015-BLG-0062 | 268.93642 | -29.38331 | UK2017_s6_1_3_H_C9559 | 268.93676 | -29.38309 |    1.33 |   0 |   0 | 
2015-BLG-0071 | 268.64571 | -29.77075 | UK2017_s6_2_1_H_C27087 | 268.64554 | -29.77110 |    1.37 |   0 |   0 | 
2015-BLG-0072 | 268.19321 | -29.48239 | UK2017_s5_3_2_H_C54835 | 268.19366 | -29.48285 |    2.18 |   0 |   0 | 
2015-BLG-0078 | 268.87788 | -27.96014 | UK2017_s3_2_2_H_C42979 | 268.87787 | -27.96017 |    0.11 |   0 |   0 | 
2015-BLG-0080 | 268.86437 | -29.14683 | UK2017_s6_3_4_H_C23786 | 268.86439 | -29.14682 |    0.07 |   0 |   0 | 
2015-BLG-0081 | 268.65300 | -28.99628 | UK2017_s6_3_4_H_C84753 | 268.65298 | -28.99628 |    0.06 |   0 |   0 | 
2015-BLG-0124 | 267.49279 | -29.64425 | UK2017_s5_1_1_H_C69565 | 267.49239 | -29.64438 |    1.34 |   0 |   0 | 
2015-BLG-0129 | 268.80500 | -29.04144 | UK2017_s6_3_4_H_C66921 | 268.80499 | -29.04146 |    0.06 |   0 |   0 | 
2015-BLG-0188 | 264.49350 | -29.11608 | UK2017_n4_3_3_H_C64293 | 264.49355 | -29.11589 |    0.71 |   0 |   0 | 
2015-BLG-0208 | 265.82192 | -27.20156 | UK2017_n1_2_1_H_C55442 | 265.82189 | -27.20155 |    0.09 |   0 |   0 | 
