         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0001 | 268.57313 | -29.00708 | UK2016_51_1_C84672 | 268.57306 | -29.00711 |    0.23 |   0 |   0 | 
2015-BLG-0002 | 268.14396 | -29.10097 | UK2016_74_2_C16440 | 268.14396 | -29.10101 |    0.14 |   0 |   0 | 
2015-BLG-0003 | 268.50967 | -28.73756 | UK2016_72_3_C66230 | 268.50948 | -28.73733 |    1.00 |   0 |   0 | 
2015-BLG-0004 | 268.54621 | -28.26314 | UK2016_82_2_C81908 | 268.54618 | -28.26313 |    0.10 |   0 |   0 | 
2015-BLG-0007 | 268.52683 | -29.26347 | UK2016_72_2_C32069 | 268.52619 | -29.26329 |    2.12 |   0 |   0 | 
2015-BLG-0023 | 269.43029 | -28.38658 | UK2016_53_3_C62512 | 269.43034 | -28.38658 |    0.15 |   0 |   0 | 
2015-BLG-0024 | 269.90617 | -27.79483 | UK2016_43_1_C55225 | 269.90618 | -27.79484 |    0.05 |   0 |   0 | 
2015-BLG-0025 | 269.18083 | -27.95192 | UK2016_64_2_C60735 | 269.18084 | -27.95194 |    0.09 |   0 |   0 | 
2015-BLG-0026 | 268.87546 | -27.83853 | UK2016_62_4_C6495 | 268.87545 | -27.83856 |    0.12 |   0 |   0 | 
2015-BLG-0027 | 269.72042 | -27.58553 | UK2016_41_4_C49779 | 269.72035 | -27.58525 |    1.02 |   0 |   0 | 
2015-BLG-0028 | 269.01167 | -29.17564 | UK2016_52_1_C1771 | 269.01167 | -29.17561 |    0.10 |   0 |   0 | 
2015-BLG-0029 | 269.94417 | -28.64494 | UK2016_33_1_C85190 | 269.94416 | -28.64493 |    0.06 |   0 |   0 | 
2015-BLG-0030 | 269.10654 | -28.70900 | UK2016_51_3_C32600 | 269.10656 | -28.70898 |    0.09 |   0 |   0 | 
2015-BLG-0033 | 270.82533 | -27.78383 | UK2016_22_1_C36580 | 270.82592 | -27.78355 |    2.13 |   0 |   0 | 
2015-BLG-0034 | 270.58033 | -27.51608 | UK2016_24_1_C55605 | 270.58035 | -27.51611 |    0.11 |   0 |   0 | 
2015-BLG-0035 | 270.06763 | -27.48536 | UK2016_44_3_C7196 | 270.06761 | -27.48535 |    0.06 |   0 |   0 | 
2015-BLG-0036 | 271.49258 | -27.26192 | UK2016_22_3_C73414 | 271.49259 | -27.26190 |    0.06 |   0 |   0 | 
2015-BLG-0041 | 270.97658 | -28.71903 | UK2016_12_1_C17744 | 270.97659 | -28.71902 |    0.04 |   0 |   0 | 
2015-BLG-0043 | 270.29550 | -28.88753 | UK2016_31_2_C55694 | 270.29493 | -28.88756 |    1.80 |   0 |   0 | 
2015-BLG-0044 | 271.35917 | -28.48756 | UK2016_13_2_C23653 | 271.35900 | -28.48753 |    0.54 |   0 |   0 | 
2015-BLG-0045 | 270.23700 | -28.21325 | UK2016_34_3_C66679 | 270.23714 | -28.21356 |    1.20 |   0 |   0 | 
