         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0313 | 268.10533 | -29.39425 | UK2018_s5_1_3_H_C4521 | 268.10540 | -29.39472 |    1.70 |   0 |   0 | 
2015-BLG-0316 | 269.09433 | -27.62181 | UK2018_s3_2_3_H_C7526 | 269.09433 | -27.62186 |    0.20 |   0 |   0 | 
2015-BLG-0320 | 268.54808 | -28.27567 | UK2018_s4_4_3_H_C10662 | 268.54820 | -28.27577 |    0.52 |   0 |   0 | 
2015-BLG-0361 | 265.66942 | -26.61514 | UK2018_n1_4_4_H_C19756 | 265.66940 | -26.61513 |    0.06 |   0 |   0 | 
2015-BLG-0374 | 267.41417 | -30.41178 | UK2018_s2_3_2_K_C28446 | 267.41415 | -30.41177 |    0.06 |   0 |   0 | 
2015-BLG-0378 | 269.10892 | -27.59578 | UK2018_s3_2_3_H_C16429 | 269.10889 | -27.59578 |    0.09 |   0 |   0 | 
2015-BLG-0379 | 269.10429 | -29.57406 | UK2018_s6_4_2_H_C15838 | 269.10431 | -29.57407 |    0.08 |   0 |   0 | 
2015-BLG-0387 | 265.27254 | -27.57547 | UK2018_n2_2_4_H_C57848 | 265.27253 | -27.57549 |    0.07 |   0 |   0 | 
2015-BLG-0388 | 268.46892 | -28.53403 | UK2018_s4_4_2_H_C67290 | 268.46894 | -28.53404 |    0.09 |   0 |   0 | 
2015-BLG-0389 | 268.38425 | -28.46167 | UK2018_s4_1_3_H_C20799 | 268.38430 | -28.46166 |    0.16 |   0 |   0 | 
2015-BLG-0390 | 267.57529 | -29.66389 | UK2018_s5_1_1_H_C57995 | 267.57529 | -29.66388 |    0.03 |   0 |   0 | 
2015-BLG-0391 | 268.49604 | -29.23517 | UK2018_s6_1_4_H_C53706 | 268.49619 | -29.23557 |    1.52 |   0 |   0 | 
2015-BLG-0394 | 269.17592 | -29.68094 | UK2018_s6_2_2_H_C51166 | 269.17590 | -29.68095 |    0.06 |   0 |   0 | 
2015-BLG-0407 | 265.98558 | -26.69058 | UK2018_n1_3_4_H_C1574 | 265.98549 | -26.69070 |    0.52 |   0 |   0 | 
2015-BLG-0409 | 265.56250 | -26.62275 | UK2018_n1_4_4_H_C17802 | 265.56250 | -26.62274 |    0.04 |   0 |   0 | 
2015-BLG-0411 | 268.10975 | -28.67047 | UK2018_s4_3_1_H_C23819 | 268.10974 | -28.67049 |    0.07 |   0 |   0 | 
2015-BLG-0412 | 267.72946 | -29.42019 | UK2018_s5_3_1_H_C65886 | 267.72946 | -29.42020 |    0.02 |   0 |   0 | 
2015-BLG-0414 | 269.00633 | -27.95119 | UK2018_s3_2_2_H_C42980 | 269.00634 | -27.95122 |    0.09 |   0 |   0 | 
2015-BLG-0446 | 267.92971 | -28.35267 | UK2018_s4_1_4_H_C56141 | 267.93005 | -28.35251 |    1.22 |   0 |   0 | 
2015-BLG-0460 | 268.78833 | -29.72950 | UK2018_s6_2_1_H_C37516 | 268.78774 | -29.72951 |    1.86 |   0 |   0 | 
2015-BLG-0489 | 267.85004 | -28.49133 | UK2018_s4_1_4_H_C10517 | 267.84972 | -28.49203 |    2.71 |   0 |   0 | 
2015-BLG-0494 | 268.87179 | -29.05769 | UK2018_s6_3_4_H_C47546 | 268.87141 | -29.05726 |    1.97 |   0 |   0 | 
2015-BLG-0521 | 268.55033 | -28.52136 | UK2018_s4_1_3_H_C1407 | 268.55033 | -28.52218 |    2.95 |   0 |   0 | 
2015-BLG-0524 | 268.29112 | -28.73500 | UK2018_s4_3_1_H_C3930 | 268.29114 | -28.73501 |    0.06 |   0 |   0 | 
2015-BLG-0543 | 268.78158 | -29.47728 | UK2018_s6_3_1_H_C50690 | 268.78086 | -29.47678 |    2.89 |   0 |   0 | 
2015-BLG-0556 | 264.52133 | -28.90408 | UK2018_n3_2_1_H_C50968 | 264.52123 | -28.90413 |    0.37 |   0 |   0 | 
2015-BLG-0560 | 267.51742 | -29.82433 | UK2018_s5_1_1_H_C7726 | 267.51741 | -29.82437 |    0.13 |   0 |   0 | 
2015-BLG-0561 | 267.22454 | -29.67444 | UK2018_c4_2_2_K_C60148 | 267.22467 | -29.67460 |    0.69 |   0 |   0 | 
2015-BLG-0562 | 268.88296 | -29.73225 | UK2018_s6_2_1_H_C36600 | 268.88296 | -29.73228 |    0.11 |   0 |   0 | 
