         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0016 | 263.90767 | -27.71631 | UK2015_5_2_C23218 | 263.90765 | -27.71632 |    0.07 |   0 |   0 | 
2015-BLG-0017 | 263.88400 | -27.04314 | UK2015_6_3_C28715 | 263.88401 | -27.04316 |    0.08 |   0 |   0 | 
2015-BLG-0069 | 263.31429 | -27.50339 | UK2015_6_1_C19757 | 263.31428 | -27.50340 |    0.05 |   0 |   0 | 
2015-BLG-0070 | 264.16612 | -27.40853 | UK2015_23_4_C57218 | 264.16614 | -27.40852 |    0.06 |   0 |   0 | 
2015-BLG-0108 | 263.92554 | -26.98917 | UK2015_6_3_C50906 | 263.92553 | -26.98919 |    0.09 |   0 |   0 | 
2015-BLG-0164 | 264.49375 | -27.17811 | UK2015_21_4_C59325 | 264.49372 | -27.17812 |    0.10 |   0 |   1 | 
2015-BLG-0188 | 264.49350 | -29.11608 | UK2015_32_2_C33728 | 264.49356 | -29.11589 |    0.72 |   0 |   0 | 
2015-BLG-0193 | 263.23821 | -29.91756 | UK2015_44_1_C49718 | 263.23823 | -29.91755 |    0.07 |   0 |   1 | 
2015-BLG-0208 | 265.82192 | -27.20156 | UK2015_11_3_C50874 | 265.82190 | -27.20154 |    0.08 |   0 |   0 | 
2015-BLG-0240 | 264.18404 | -27.72058 | UK2015_24_1_C20954 | 264.18402 | -27.72061 |    0.12 |   0 |   0 | 
2015-BLG-0268 | 264.53896 | -27.16044 | UK2015_24_3_C67393 | 264.53896 | -27.16045 |    0.02 |   0 |   0 | 
2015-BLG-0311 | 263.72663 | -30.08800 | UK2015_43_2_C59138 | 263.72696 | -30.08823 |    1.33 |   0 |   0 | 
2015-BLG-0387 | 265.27254 | -27.57547 | UK2015_14_1_C78000 | 265.27253 | -27.57547 |    0.04 |   0 |   0 | 
2015-BLG-0401 | 264.08117 | -27.77414 | UK2015_24_1_C915 | 264.08121 | -27.77413 |    0.14 |   0 |   1 | 
2015-BLG-0402 | 264.54554 | -27.27097 | UK2015_24_3_C25939 | 264.54553 | -27.27097 |    0.04 |   0 |   0 | 
2015-BLG-0431 | 264.03050 | -27.71658 | UK2015_24_1_C22434 | 264.03033 | -27.71667 |    0.63 |   0 |   0 | 
2015-BLG-0511 | 264.06088 | -27.68775 | UK2015_24_1_C33352 | 264.06085 | -27.68743 |    1.15 |   0 |   0 | 
2015-BLG-0512 | 264.14308 | -27.18858 | UK2015_24_4_C55823 | 264.14307 | -27.18856 |    0.09 |   0 |   0 | 
2015-BLG-0555 | 264.66642 | -27.35406 | UK2015_23_3_C77091 | 264.66647 | -27.35340 |    2.37 |   0 |   0 | 
2015-BLG-0556 | 264.52133 | -28.90408 | UK2015_31_2_C33820 | 264.52125 | -28.90415 |    0.36 |   0 |   0 | 
2015-BLG-0599 | 263.82717 | -28.90086 | UK2015_34_1_C27881 | 263.82718 | -28.90085 |    0.06 |   0 |   1 | 
2015-BLG-0627 | 264.47854 | -27.22847 | UK2015_21_4_C39895 | 264.47856 | -27.22849 |    0.09 |   0 |   0 | 
2015-BLG-0632 | 265.06021 | -27.66092 | UK2015_14_1_C44679 | 265.06008 | -27.66134 |    1.58 |   0 |   0 | 
2015-BLG-0633 | 264.66646 | -27.35403 | UK2015_23_3_C77091 | 264.66647 | -27.35340 |    2.26 |   0 |   0 | 
2015-BLG-0749 | 264.95571 | -27.51172 | UK2015_22_3_C17054 | 264.95560 | -27.51167 |    0.39 |   1 |   1 | 
2015-BLG-0768 | 264.57979 | -27.46733 | UK2015_23_3_C34272 | 264.57985 | -27.46729 |    0.24 |   0 |   1 | 
2015-BLG-0769 | 265.67008 | -27.36883 | UK2015_13_3_C70380 | 265.67004 | -27.36888 |    0.22 |   1 |   1 | 
2015-BLG-0770 | 264.93633 | -27.36169 | UK2015_22_3_C72599 | 264.93632 | -27.36170 |    0.05 |   0 |   1 | 
2015-BLG-0803 | 263.46167 | -26.95006 | UK2015_6_4_C63597 | 263.46187 | -26.95001 |    0.67 |   0 |   0 | 
2015-BLG-0831 | 264.45392 | -29.06450 | UK2015_32_2_C54683 | 264.45392 | -29.06453 |    0.11 |   0 |   1 | 
2015-BLG-0832 | 264.13192 | -29.05686 | UK2015_32_1_C55654 | 264.13189 | -29.05688 |    0.11 |   0 |   0 | 
2015-BLG-0833 | 265.03671 | -27.17289 | UK2015_14_4_C72007 | 265.03670 | -27.17286 |    0.11 |   0 |   0 | 
